Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-10-21T04:30:21.294423100
Total Options: 127

These are tier 1 options:
Underlying: TSM | Expiration: 24-Oct-25 | Strike: 292.50 | Previous Close: 3.05 | Adjusted PE: 0.65 | Yield: 0.26%
Underlying: TSM | Expiration: 24-Oct-25 | Strike: 295.00 | Previous Close: 4.00 | Adjusted PE: 0.66 | Yield: 0.34%
Underlying: TSM | Expiration: 31-Oct-25 | Strike: 295.00 | Previous Close: 7.16 | Adjusted PE: 0.66 | Yield: 0.27%
Underlying: TSM | Expiration: 24-Oct-25 | Strike: 297.50 | Previous Close: 4.71 | Adjusted PE: 0.66 | Yield: 0.40%
Underlying: TSM | Expiration: 31-Oct-25 | Strike: 297.50 | Previous Close: 8.15 | Adjusted PE: 0.66 | Yield: 0.30%
Underlying: TSM | Expiration: 07-Nov-25 | Strike: 297.50 | Previous Close: 10.54 | Adjusted PE: 0.66 | Yield: 0.25%
Underlying: COP | Expiration: 24-Oct-25 | Strike: 87.00 | Previous Close: 1.16 | Adjusted PE: 4.80 | Yield: 0.33%
Underlying: COP | Expiration: 07-Nov-25 | Strike: 87.00 | Previous Close: 2.84 | Adjusted PE: 4.80 | Yield: 0.23%
Underlying: REGN | Expiration: 31-Oct-25 | Strike: 555.00 | Previous Close: 12.13 | Adjusted PE: 6.14 | Yield: 0.24%
Underlying: REGN | Expiration: 24-Oct-25 | Strike: 565.00 | Previous Close: 5.60 | Adjusted PE: 6.25 | Yield: 0.25%
Underlying: REGN | Expiration: 24-Oct-25 | Strike: 570.00 | Previous Close: 7.60 | Adjusted PE: 6.31 | Yield: 0.33%
Underlying: REGN | Expiration: 24-Oct-25 | Strike: 575.00 | Previous Close: 10.08 | Adjusted PE: 6.36 | Yield: 0.44%
Underlying: REGN | Expiration: 31-Oct-25 | Strike: 575.00 | Previous Close: 16.00 | Adjusted PE: 6.36 | Yield: 0.31%
Underlying: INMD | Expiration: 21-Nov-25 | Strike: 16.00 | Previous Close: 1.15 | Adjusted PE: 6.61 | Yield: 0.30%
Underlying: LNTH | Expiration: 21-Nov-25 | Strike: 55.00 | Previous Close: 4.20 | Adjusted PE: 7.41 | Yield: 0.32%
Underlying: ON | Expiration: 07-Nov-25 | Strike: 50.00 | Previous Close: 1.69 | Adjusted PE: 7.51 | Yield: 0.24%
Underlying: ON | Expiration: 14-Nov-25 | Strike: 51.00 | Previous Close: 2.25 | Adjusted PE: 7.66 | Yield: 0.23%
Underlying: ON | Expiration: 24-Oct-25 | Strike: 52.00 | Previous Close: 0.63 | Adjusted PE: 7.81 | Yield: 0.30%
Underlying: ON | Expiration: 24-Oct-25 | Strike: 53.00 | Previous Close: 0.74 | Adjusted PE: 7.96 | Yield: 0.34%
Underlying: ON | Expiration: 31-Oct-25 | Strike: 53.00 | Previous Close: 1.50 | Adjusted PE: 7.96 | Yield: 0.31%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 53.00 | Previous Close: 3.10 | Adjusted PE: 7.96 | Yield: 0.24%
Underlying: ON | Expiration: 24-Oct-25 | Strike: 54.00 | Previous Close: 1.22 | Adjusted PE: 8.11 | Yield: 0.56%
Underlying: ON | Expiration: 31-Oct-25 | Strike: 54.00 | Previous Close: 1.75 | Adjusted PE: 8.11 | Yield: 0.36%
Underlying: ON | Expiration: 21-Nov-25 | Strike: 54.00 | Previous Close: 3.80 | Adjusted PE: 8.11 | Yield: 0.29%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 36.00 | Previous Close: 2.20 | Adjusted PE: 8.18 | Yield: 0.25%
Underlying: ACMR | Expiration: 21-Nov-25 | Strike: 39.00 | Previous Close: 3.70 | Adjusted PE: 8.86 | Yield: 0.39%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 120.00 | Previous Close: 2.75 | Adjusted PE: 9.99 | Yield: 0.25%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 120.00 | Previous Close: 4.09 | Adjusted PE: 9.99 | Yield: 0.24%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 123.00 | Previous Close: 4.11 | Adjusted PE: 10.24 | Yield: 0.37%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 125.00 | Previous Close: 4.20 | Adjusted PE: 10.40 | Yield: 0.37%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 127.00 | Previous Close: 6.36 | Adjusted PE: 10.57 | Yield: 0.56%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 127.00 | Previous Close: 5.70 | Adjusted PE: 10.57 | Yield: 0.32%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 128.00 | Previous Close: 6.24 | Adjusted PE: 10.65 | Yield: 0.54%
Underlying: ALGN | Expiration: 28-Nov-25 | Strike: 128.00 | Previous Close: 8.42 | Adjusted PE: 10.65 | Yield: 0.24%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 129.00 | Previous Close: 6.69 | Adjusted PE: 10.74 | Yield: 0.58%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 129.00 | Previous Close: 7.20 | Adjusted PE: 10.74 | Yield: 0.23%
Underlying: ALGN | Expiration: 31-Oct-25 | Strike: 130.00 | Previous Close: 5.90 | Adjusted PE: 10.82 | Yield: 0.50%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 130.00 | Previous Close: 7.70 | Adjusted PE: 10.82 | Yield: 0.25%
Underlying: UTHR | Expiration: 21-Nov-25 | Strike: 430.00 | Previous Close: 26.30 | Adjusted PE: 10.85 | Yield: 0.26%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 132.00 | Previous Close: 8.60 | Adjusted PE: 10.99 | Yield: 0.27%
Underlying: ALGN | Expiration: 24-Oct-25 | Strike: 132.00 | Previous Close: 1.28 | Adjusted PE: 10.99 | Yield: 0.24%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 133.00 | Previous Close: 9.00 | Adjusted PE: 11.07 | Yield: 0.28%
Underlying: ALGN | Expiration: 07-Nov-25 | Strike: 134.00 | Previous Close: 8.60 | Adjusted PE: 11.15 | Yield: 0.46%
Underlying: ALGN | Expiration: 24-Oct-25 | Strike: 134.00 | Previous Close: 2.30 | Adjusted PE: 11.15 | Yield: 0.43%
Underlying: ALGN | Expiration: 21-Nov-25 | Strike: 134.00 | Previous Close: 9.50 | Adjusted PE: 11.15 | Yield: 0.30%
Underlying: META | Expiration: 31-Oct-25 | Strike: 697.50 | Previous Close: 15.14 | Adjusted PE: 12.71 | Yield: 0.24%
Underlying: META | Expiration: 31-Oct-25 | Strike: 700.00 | Previous Close: 15.88 | Adjusted PE: 12.75 | Yield: 0.25%
Underlying: META | Expiration: 31-Oct-25 | Strike: 702.50 | Previous Close: 16.68 | Adjusted PE: 12.80 | Yield: 0.26%
Underlying: META | Expiration: 31-Oct-25 | Strike: 705.00 | Previous Close: 17.57 | Adjusted PE: 12.84 | Yield: 0.28%
Underlying: META | Expiration: 31-Oct-25 | Strike: 707.50 | Previous Close: 18.39 | Adjusted PE: 12.89 | Yield: 0.29%
Underlying: META | Expiration: 31-Oct-25 | Strike: 710.00 | Previous Close: 19.55 | Adjusted PE: 12.93 | Yield: 0.31%
Underlying: META | Expiration: 31-Oct-25 | Strike: 712.50 | Previous Close: 20.42 | Adjusted PE: 12.98 | Yield: 0.32%
Underlying: META | Expiration: 07-Nov-25 | Strike: 712.50 | Previous Close: 23.31 | Adjusted PE: 12.98 | Yield: 0.23%
